pokemonName,attackName,text,effect_type,param1,param2
Manaphy,Oceanic Gift,"""Choose 2 of your Benched Pokémon. For each of those Pokémon, take a {W} Energy from your Energy Zone and attach it to that Pokémon.""",attach_energy_to_multiple_bench,water,2
Shinx,Hide,"""Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.""",flip_prevent_damage_and_effects,,
Rotom,Assault Laser,"""If your opponent's Active Pokémon has a Pokémon Tool attached, this attack does 30 more damage.""",bonus_damage_if_tool_attached,opponent,30
Drifloon,Expand,"""During your opponent's next turn, this Pokémon takes −20 damage from attacks.""",reduce_incoming_damage_next_turn,20,
Mesprit,Supreme Blast,You can use this attack only if you have Uxie and Azelf on your Bench. Discard all Energy from this Pokémon.,discard_energy_all,,
Cresselia,Moonlight Gain,Heal 20 damage from this Pokémon.,heal_self,20,
Rhyperior,Mountain Swing,Discard the top 3 cards of your deck.,discard_top_deck,3,
Spiritomb,Swirling Disaster,This attack does 10 damage to each of your opponent's Pokémon.,damage_all_opponent_pokemon,10,
Croagunk,Group Beatdown,Flip a coin for each Pokémon you have in play. This attack does 20 damage for each heads.,flip_multiplier_pokemon_in_play,20,
Heatran,Steel Tackle,This Pokémon also does 20 damage to itself.,self_damage_fixed_amount,20,
Staraptor,Clutch,"""During your opponent's next turn, the Defending Pokémon can't retreat.""",inflict_effect,retreat_lock,
Bidoof,Super Fang,"""Halve your opponent's Active Pokémon's remaining HP, rounded down.""",halve_opponent_hp,,
Glameow,Pose,"""Flip a coin. If tails, this attack does nothing.""",flip_do_nothing_if_tails,,
Regigigas,Raging Hammer,This attack does more damage equal to the damage this Pokémon has on it.,bonus_damage_equal_to_self_damage,,
Yanmega ex,Air Slash,Discard a random Energy from this Pokémon.,discard_random_energy_self,1,
Infernape ex,Flare Blitz,Discard all {R} Energy from this Pokémon.,discard_energy_specific,fire,999
Palkia ex,Dimensional Storm,Discard 3 {W} Energy from this Pokémon. This attack also does 20 damage to each of your opponent's Benched Pokémon.,discard_energy_and_bench_damage,water,3|20
Pachirisu ex,Sparking Gadget,"""If this Pokémon has a Pokémon Tool attached, this attack does 40 more damage.""",bonus_damage_if_tool_attached,self,40
Mismagius ex,Magical Delusion,Your opponent's Active Pokémon is now Confused.,inflict_status,confusion,
Gallade ex,Energized Blade,This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.,bonus_damage_for_each_energy_on_opponent,20,
Weavile ex,Scratching Nails,"""If your opponent's Active Pokémon has damage on it, this attack does 40 more damage.""",bonus_damage_if_opponent_damaged,40,
Dialga ex,Metallic Turbo,Take 2 {M} Energy from your Energy Zone and attach it to 1 of your Benched Pokémon.,attach_multiple_energy_to_bench_one,metal,2
Lickilicky ex,Licking Fury,Flip a coin until you get tails. This attack does 40 more damage for each heads.,flip_until_tails_bonus_damage,40,
Yanmega ex,Air Slash,Discard a random Energy from this Pokémon.,discard_random_energy_self,1,
Infernape ex,Flare Blitz,Discard all {R} Energy from this Pokémon.,discard_energy_specific,fire,999
Pachirisu ex,Sparking Gadget,"""If this Pokémon has a Pokémon Tool attached, this attack does 40 more damage.""",bonus_damage_if_tool_attached,self,40
Mismagius ex,Magical Delusion,Your opponent's Active Pokémon is now Confused.,inflict_status,confusion,
Gallade ex,Energized Blade,This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.,bonus_damage_for_each_energy_on_opponent,20,
Weavile ex,Scratching Nails,"""If your opponent's Active Pokémon has damage on it, this attack does 40 more damage.""",bonus_damage_if_opponent_damaged,40,
Lickilicky ex,Licking Fury,Flip a coin until you get tails. This attack does 40 more damage for each heads.,flip_until_tails_bonus_damage,40,
Palkia ex,Dimensional Storm,Discard 3 {W} Energy from this Pokémon. This attack also does 20 damage to each of your opponent's Benched Pokémon.,discard_energy_and_bench_damage,water,3|20
Dialga ex,Metallic Turbo,Take 2 {M} Energy from your Energy Zone and attach it to 1 of your Benched Pokémon.,attach_multiple_energy_to_bench_one,metal,2
Palkia ex,Dimensional Storm,Discard 3 {W} Energy from this Pokémon. This attack also does 20 damage to each of your opponent's Benched Pokémon.,discard_energy_and_bench_damage,water,3|20
Dialga ex,Metallic Turbo,Take 2 {M} Energy from your Energy Zone and attach it to 1 of your Benched Pokémon.,attach_multiple_energy_to_bench_one,metal,2
Heracross,Single-Horn Throw,"""Flip 2 coins. If both of them are heads, this attack does 70 more damage.""",flip_bonus_if_double_heads,,70
Vespiquen,Reckless Charge,This Pokémon also does 30 damage to itself.,self_damage_fixed_amount,30,
Cherrim,Worry Seed,Your opponent's Active Pokémon is now Confused.,inflict_status,confused,
Cherrim,Leech Seed,Heal 20 damage from this Pokémon.,heal_self,20,
Houndoom,Corner,"""During your opponent's next turn, the Defending Pokémon can't retreat.""",inflict_effect,retreat_lock,
Heatran,Ragin' Mad Strike,"""If this Pokémon has damage on it, this attack does 40 more damage.""",bonus_damage_if_self_damaged,40,
Whiscash,Thrash,"""Flip a coin. If heads, this attack does 60 more damage. If tails, this Pokémon also does 20 damage to itself.""",flip_bonus_damage_with_self_damage,60,20
Froslass,Blizzard,This attack also does 10 damage to each of your opponent's Benched Pokémon.,bench_damage_all_opponent,10,
Origin Forme Palkia,Zone Smash,"""Flip a coin. If heads, this attack does 60 more damage.""",flip_bonus_damage_if_heads,1,60
Phione,Water Pulse,Your opponent's Active Pokémon is now Asleep.,inflict_status,sleep,
Pikachu,Spark,This attack also does 10 damage to 1 of your opponent's Benched Pokémon.,bench_damage_one,opponent,10
Raichu,Spark,This attack also does 20 damage to 1 of your opponent's Benched Pokémon.,bench_damage_one,opponent,20
Manectric,Flash,"""During your opponent's next turn, if the Defending Pokémon tries to use an attack, your opponent flips a coin. If tails, that attack doesn't happen.""",inflict_effect,attack_lock_flip,
Clefable,Moonblast,"""During your opponent's next turn, attacks used by the Defending Pokémon do −30 damage.""",inflict_effect,reduce_damage_next_turn,30
Gastly,Astonish,"""Flip a coin. If heads, your opponent reveals a random card from their hand and shuffles it into their deck.""",flip_reveal_shuffle_opponent_card,,
Gengar,Hypnoblast,Your opponent's Active Pokémon is now Asleep.,inflict_status,sleep,
Rotom,Dash Attack,This attack does 20 damage to 1 of your opponent's Benched Pokémon.,bench_damage_one,opponent,20
Sudowoodo,Fighting Headbutt,"""If your opponent's Active Pokémon is a Pokémon {ex}, this attack does 30 more damage.""",bonus_damage_if_opponent_ex,30,
Donphan,Rolling Spin,"""During your next turn, this Pokémon's Rolling Spin attack does +60 damage.""",increase_self_damage_next_turn,Rolling Spin,60
Medicham,Kick Shot,"""Flip a coin. If tails, this attack does nothing.""",flip_do_nothing_if_tails,,
Garchomp ex,Linear Attack,This attack does 50 damage to 1 of your opponent's Pokémon.,bench_damage_one,opponent,50
Toxicroak,Toxic,Your opponent's Active Pokémon is now Poisoned. Do 20 damage to this Pokémon instead of the usual amount for this Special Condition.,inflict_status_heavy,poison,20
Mawile,Iron Beam Breaker,"""If your opponent's Active Pokémon is a {M} Pokémon, this attack does 30 more damage.""",bonus_damage_if_opponent_type,metal,30
Probopass ex,Defensive Unit,"""During your opponent's next turn, this Pokémon takes −20 damage from attacks.""",reduce_incoming_damage_next_turn,20,
Bronzong,Psychic,This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.,bonus_damage_for_each_energy_on_opponent,20,
Origin Forme Dialga,Time Mash,"""Flip a coin. If tails, during your next turn, this Pokémon can't attack.""",flip_inflict_effect_self_if_tails,attack_lock_self,
Giratina,Crisis Dive,Discard 2 random Energy from this Pokémon.,discard_random_energy_self,2,
Snorlax,Collapse,This Pokémon is now Asleep.,inflict_status_self,asleep,
Noctowl,Silent Wing,Your opponent reveals their hand.,reveal_opponent_hand,,
Staraptor,Brave Bird,This Pokémon also does 20 damage to itself.,self_damage_fixed_amount,20,
Arceus,Power Blast,Discard a random Energy from this Pokémon.,discard_random_energy_self,1,
Arceus ex,Ultimate Force,This attack does 20 more damage for each of your Benched Pokémon.,bonus_damage_for_each_bench,20,
Houndoom,Corner,"""During your opponent's next turn, the Defending Pokémon can't retreat.""",inflict_effect,retreat_lock,
Sudowoodo,Fighting Headbutt,"""If your opponent's Active Pokémon is a Pokémon ex, this attack does 30 more damage.""",bonus_damage_if_opponent_ex,30,
Garchomp ex,Linear Attack,This attack does 50 damage to 1 of your opponent's Pokémon.,bench_damage_one,opponent,50
Probopass ex,Defensive Unit,"""During your opponent's next turn, this Pokémon takes −20 damage from attacks.""",reduce_incoming_damage_next_turn,20,
Arceus ex,Ultimate Force,This attack does 20 more damage for each of your Benched Pokémon.,bonus_damage_for_each_bench,20,
Garchomp ex,Linear Attack,This attack does 50 damage to 1 of your opponent's Pokémon.,bench_damage_one,opponent,50
Probopass ex,Defensive Unit,"""During your opponent's next turn, this Pokémon takes −20 damage from attacks.""",reduce_incoming_damage_next_turn,20,
Arceus ex,Ultimate Force,This attack does 20 more damage for each of your Benched Pokémon.,bonus_damage_for_each_bench,20,
Arceus ex,Ultimate Force,This attack does 20 more damage for each of your Benched Pokémon.,bonus_damage_for_each_bench,20,
Weedle,Multiply,Put 1 random Weedle from your deck onto your Bench.,search_specific_into_bench,Weedle,
Kakuna,String Shot,"""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""",flip_inflict_status_if_heads,paralysis,
Beedrill ex,Crushing Spear,Discard a random Energy from your opponent's Active Pokémon.,discard_random_energy_from_opponent,1,
Pinsir,Guillotine Rush,Flip a coin until you get tails. This attack does 40 more damage for each heads.,flip_until_tails_bonus_damage,40,
Sprigatito,Cry for Help,Put 1 random {G} Pokémon from your deck into your hand.,search_pokemon_type_random,grass,
Meowscarada,Fighting Claws,"""If your opponent's Active Pokémon is a Pokémon ex, this attack does 70 more damage.""",bonus_damage_if_opponent_ex,70,
Charizard ex,Stoke,Take 3 {R} Energy from your Energy Zone and attach it to this Pokémon.,attach_multiple_energy_from_zone_self,fire,3
Magmortar,Smoke Bomb,"""During your opponent's next turn, if the Defending Pokémon tries to use an attack, your opponent flips a coin. If tails, that attack doesn't happen.""",inflict_effect,attack_lock_flip,
Paldean Tauros,Blaze Tackle,This Pokémon also does 10 damage to itself.,self_damage_fixed_amount,10,
Floatzel,Water Arrow,This attack does 30 damage to 1 of your opponent's Pokémon.,bench_damage_one,opponent,30
Wiglett,Spring Out,1 of your opponent's Pokémon is chosen at random. Do 30 damage to it.,random_single_target_damage,30,
Wugtrio ex,Pop Out Throughout,"""1 of your opponent's Pokémon is chosen at random 3 times. For each time a Pokémon was chosen, do 50 damage to it.""",random_multi_target_damage,3,50
Dondozo,Ocean Cyclone,This attack also does 10 damage to each of your opponent's Benched Pokémon.,bench_damage_all_opponent,10,
Pikachu ex,Thunderbolt,Discard all Energy from this Pokémon.,discard_energy_all,,
Electrode,Tumbling Attack,"""Flip a coin. If heads, this attack does 30 more damage.""",flip_bonus_damage_if_heads,1,30
Pachirisu,Plasma,Take a {L} Energy from your Energy Zone and attach it to 1 of your Benched  Pokémon.,attach_energy_from_zone,lightning,to_bench
Alakazam,Psychic Suppression,This attack also does 20 damage to each of your opponent's Benched Pokémon that has any Energy attached.,bench_damage_opponent_with_energy,20,
Mr. Mime,Juggling,Flip 4 coins. This attack does 20 damage for each heads.,flip_multiplier,4,20
Giratina ex,Chaotic Impact,This Pokémon also does 20 damage to itself.,self_damage_fixed_amount,20,
Gimmighoul,Chest-ouflage,"""Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.""",flip_inflict_effect_if_heads,prevent_damage_next_turn,
Machoke,Pummel,"""Flip a coin. If heads, this attack does 30 more damage.""",flip_bonus_damage_if_heads,1,30
Machamp,Power Press,"""If this Pokémon has at least 2 extra {F} Energy attached, this attack does 50 more damage.""",extra_damage_if_extra_energy_attached,fighting,2|50
Lucario ex,Aura Sphere,This attack also does 30 damage to 1 of your opponent's Benched Pokémon.,bench_damage_one,opponent,30
Flamigo,Double Kick,Flip 2 coins. This attack does 50 damage for each heads.,flip_multiplier,2,50
Arbok,Venomous Fang,Your opponent's Active Pokémon is now Poisoned.,inflict_status,poison,
Paldean Wooper,Poison Jab,Your opponent's Active Pokémon is now Poisoned.,inflict_status,poison,
Paldean Clodsire ex,Venoshock,"""If your opponent's Active Pokémon is Poisoned, this attack does 60 more damage.""",bonus_damage_if_opponent_poisoned,60,
Spiritomb,Confuse Ray,"""Flip a coin. If heads, your opponent's Active Pokémon is now Confused.""",flip_inflict_status_if_heads,confused,
Tinkatuff,Tenacious Hammer,"""Flip a coin. If heads, this attack does 30 more damage.""",flip_bonus_damage_if_heads,1,30
Tinkaton ex,Terrific Thumping,"""Flip a coin. If heads, this attack does 80 more damage.""",flip_bonus_damage_if_heads,1,80
Revavroom,Spinning Drift,"""Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.""",flip_inflict_effect_if_heads,prevent_damage_next_turn,
Gholdengo,Scintillating Surfing,Flip a coin for each {M} Energy attached to this Pokémon. This attack does 50 damage for each heads.,flip_multiplier_per_energy,metal,50
Bibarel ex,Carefree Press,Heal 30 damage from this Pokémon.,heal_self,30,
Cyclizar,Overacceleration,"""During your next turn, this Pokémon's Overacceleration attack does +20 damage.""",increase_self_damage_next_turn,Overacceleration,20
Meowscarada,Fighting Claws,"""If your opponent's Active Pokémon is a Pokémon ex, this attack does 70 more damage.""",bonus_damage_if_opponent_ex,70,
Gholdengo,Scintillating Surfing,Flip a coin for each {M} Energy attached to this Pokémon. This attack does 50 damage for each heads.,flip_multiplier_per_energy,metal,50
Beedrill ex,Crushing Spear,Discard a random Energy from your opponent's Active Pokémon.,discard_random_energy_from_opponent,1,
Charizard ex,Stoke,Take 3 {R} Energy from your Energy Zone and attach it to this Pokémon.,attach_multiple_energy_from_zone_self,fire,3
Wugtrio ex,Pop Out Throughout,"""1 of your opponent's Pokémon is chosen at random 3 times. For each time a Pokémon was chosen, do 50 damage to it.""",random_multi_target_damage,3,50
Pikachu ex,Thunderbolt,Discard all Energy from this Pokémon.,discard_energy_all,,
Giratina ex,Chaotic Impact,This Pokémon also does 20 damage to itself.,self_damage_fixed_amount,20,
Lucario ex,Aura Sphere,This attack also does 30 damage to 1 of your opponent's Benched Pokémon.,bench_damage_one,opponent,30
Paldean Clodsire ex,Venoshock,"""If your opponent's Active Pokémon is Poisoned, this attack does 60 more damage.""",bonus_damage_if_opponent_poisoned,60,
Tinkaton ex,Terrific Thumping,"""Flip a coin. If heads, this attack does 80 more damage.""",flip_bonus_damage_if_heads,1,80
Bibarel ex,Carefree Press,Heal 30 damage from this Pokémon.,heal_self,30,
Pikachu ex,Thunderbolt,Discard all Energy from this Pokémon.,discard_energy_all,,
Paldean Clodsire ex,Venoshock,"""If your opponent's Active Pokémon is Poisoned, this attack does 60 more damage.""",bonus_damage_if_opponent_poisoned,60,
Tinkaton ex,Terrific Thumping,"""Flip a coin. If heads, this attack does 80 more damage.""",flip_bonus_damage_if_heads,1,80
Bibarel ex,Carefree Press,Heal 30 damage from this Pokémon.,heal_self,30,
Giratina ex,Chaotic Impact,This Pokémon also does 20 damage to itself.,self_damage_fixed_amount,20,
Weedle,Multiply,Put 1 random Weedle from your deck onto your Bench.,search_specific_into_bench,Weedle,
Kakuna,String Shot,"""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""",flip_inflict_status_if_heads,paralysis,
Wiglett,Spring Out,1 of your opponent's Pokémon is chosen at random. Do 30 damage to it.,random_single_target_damage,30,
Dondozo,Ocean Cyclone,This attack also does 10 damage to each of your opponent's Benched Pokémon.,bench_damage_all_opponent,10,
Pachirisu,Plasma,Take a {L} Energy from your Energy Zone and attach it to 1 of your Benched  Pokémon.,attach_energy_from_zone,lightning,to_bench
Revavroom,Spinning Drift,"""Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.""",flip_inflict_effect_if_heads,prevent_damage_next_turn,
Beedrill ex,Crushing Spear,Discard a random Energy from your opponent's Active Pokémon.,discard_random_energy_from_opponent,1,
Charizard ex,Stoke,Take 3 {R} Energy from your Energy Zone and attach it to this Pokémon.,attach_multiple_energy_from_zone_self,fire,3
Wugtrio ex,Pop Out Throughout,"""1 of your opponent's Pokémon is chosen at random 3 times. For each time a Pokémon was chosen, do 50 damage to it.""",random_multi_target_damage,3,50
Lucario ex,Aura Sphere,This attack also does 30 damage to 1 of your opponent's Benched Pokémon.,bench_damage_one,opponent,30
Alolan Exeggutor,Tropical Hammer,Flip a coin. If tails this attack does nothing.,flip_do_nothing_if_tails,,
Surskit,Quick Attack,Flip a coin. If heads this attack does 20 more damage.,flip_bonus_damage_if_heads,1,20
Rowlet,Skill Dive,This attack does 10 damage to 1 of your opponent's Pokémon.,bench_damage_one,opponent,10
Decidueye ex,Pierce the Pain,This attack does 100 damage to 1 of your opponent's Pokémon that have damage on them.,bench_damage_to_damaged_only,100,
Lurantis,Petal Blizzard,This attack does 20 damage to each of your opponent's Pokémon.,bench_damage_all_opponent,20,
Shiinotic,Flickering Light,"""Flip a coin. If heads, the Defending Pokémon can't attack during your opponent's next turn.""",flip_inflict_effect_if_heads,attack_lock,
Steenee,Double Spin,Flip 2 coins. This attack does 30 damage for each heads.,flip_multiplier,2,30
Tsareena,Three Kick Combo,Flip 3 coins. This attack does 50 damage for each heads.,flip_multiplier,3,50
Golisopod,First Impression,"""If this Pokémon moved from your Bench to the Active Spot this turn, this attack does 60 more damage.""",bonus_damage_if_switched_in,60,
Dhelmise ex,Anchor Shot,"""During your opponent's next turn, the Defending Pokémon can't retreat.""",inflict_effect_retreat_lock,,
Tapu Bulu,Stuck-In Tackle,"""Flip a coin. If tails, this Pokémon also does 20 damage to itself.""",flip_self_damage_if_tails,20,
Alolan Marowak,Burning Bonemerang,"""Flip 2 coins. This attack does 70 damage for each heads. If at least 1 of them is heads, your opponent's Active Pokémon is now Burned.""",flip_conditional_burn,2,70
Litten,Heat Tackle,This Pokémon also does 10 damage to itself.,self_damage_fixed_amount,10,
Torracat,Heat Tackle,This Pokémon also does 10 damage to itself.,self_damage_fixed_amount,10,
Incineroar ex,Fire Fang,Your opponent's Active Pokémon is now Burned.,inflict_status,burned,
Incineroar ex,Scar-Charged Smash,"""If this Pokémon has damage on it, this attack does 60 more damage.""",bonus_damage_if_self_damaged,60,
Oricorio,Kindle,Discard a random Energy from both Active Pokémon.,discard_random_energy_from_both,,
Salazzle,Heated Poison,Your opponent's Active Pokémon is now Poisoned and Burned.,inflict_double_status,poisoned,burned
Turtonator,Fire Spin,Discard a {R} Energy from this Pokémon.,discard_energy_specific,fire,1
Alolan Sandslash,Spike Armor,"""During your opponent's next turn, if this Pokémon is damaged by an attack, do 40 damage to the Attacking Pokémon.""",inflict_effect_counter_next_turn,40,
Alolan Vulpix,Call Forth Cold,Take a {W} Energy from your Energy Zone and attach it to this Pokémon.,attach_energy_from_zone_to_self,water,
Alolan Ninetales,Blizzard,This attack also does 20 damage to each of your opponent's Benched Pokémon.,bench_damage_all_opponent,20,
Cloyster,Guard Press,"""During your opponent's next turn, this Pokémon takes −20 damage from attacks.""",reduce_incoming_damage_next_turn,20,
Popplio,Sing,Your opponent's Active Pokémon is now Asleep.,inflict_status,asleep,
Crabominable ex,Insatiable Striking,"""During your next turn, this Pokémon's Insatiable Striking attack does +40 damage.""",bonus_damage_during_next_turn,40,
Wishiwashi,Call for Family,Put 1 random Wishiwashi or Wishiwashi ex from your deck onto your Bench.,search_named_to_bench,,"""Wishiwashi,Wishiwashi ex"""
Wishiwashi ex,School Storm,This attack does 40 more damage for each of your Benched Wishiwashi and Wishiwashi ex.,bonus_damage_for_each_named_bench,40,"""Wishiwashi,Wishiwashi ex"""
Araquanid,Dangerous Claws,"""If your opponent's Active Pokémon is a Basic Pokémon, this attack does 60 more damage.""",bonus_damage_if_opponent_basic,60,
Tapu Fini,Spiral Drain,Heal 20 damage from this Pokémon.,heal_self,20,
Alolan Raichu ex,Psychic,This attack does 30 more damage for each Energy attached to your opponent's Active Pokémon.,bonus_damage_for_each_energy_on_opponent,30,
Alolan Golem,Super Zap Cannon,Discard 2 {L} Energy from this Pokémon.,discard_energy_specific,lightning,2
Vikavolt,Disconnect,"""During your opponent's next turn, they can't play any Item cards from their hand.""",inflict_effect,block_items,
Togedemaru,Electrosmash,Flip a coin. If heads this attack does 30 more damage.,flip_bonus_damage_if_heads,1,30
Tapu Koko,Volt Switch,Switch this Pokémon with 1 of your Benched {L} Pokémon.,switch_self_with_bench_type,lightning,
Mr. Mime,Barrier Shove,"""Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.""",flip_prevent_damage_and_effects_next_turn,,
Sableye,Corner,"""During your opponent's next turn, the Defending Pokémon can't retreat.""",inflict_effect_retreat_lock,,
Spoink,Psycharge,Take a {P} Energy from your Energy Zone and attach it to this Pokémon.,attach_energy_from_zone_to_self,psychic,
Banette,Night Bind,"""During your opponent's next turn, they can't take any Energy from their Energy Zone to attach to their Active Pokémon.""",inflict_effect,block_energy_attach,
Oricorio,Dazzle Dance,Your opponent's Active Pokémon is now Confused.,inflict_status,confused,
Oricorio,Spiteful Dance,"""If any of your Pokémon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 60 more damage.""",bonus_damage_if_pokemon_ko_last_turn,60,
Mimikyu,Shadow Hit,This attack also does 20 damage to 1 of your Pokémon.,bench_damage_one,self,20
Tapu Lele,Energy Arrow,This attack does 20 damage to 1 of your opponent's Pokémon for each Energy attached to that Pokémon.,bench_damage_per_energy_on_target,20,
Cosmog,Teleport,Switch this Pokémon with 1 of your Benched Pokémon.,switch_self_with_bench,,
Cosmoem,Stiffen,"""During your opponent's next turn, this Pokémon takes −50 damage from attacks.""",reduce_incoming_damage_next_turn,50,
Necrozma,Prismatic Laser,"""During your next turn, this Pokémon can't attack.""",self_inflict_effect,cant_attack_next_turn,
Hariyama,Push Out,Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.),force_opponent_switch,,
Rockruff,Signs of Evolution,Put a random card that evolves from Rockruff from your deck into your hand.,search_evolution_of_self,,
Lycanroc,Crunch,"""Flip a coin. If heads, discard a random Energy from your opponent's Active Pokémon.""",flip_discard_energy_if_heads,,
Lycanroc,Blood Fang,"""If your opponent's Active Pokémon has more remaining HP than this Pokémon, this attack does 50 more damage.""",bonus_damage_if_opponent_has_more_hp,50,
Mudsdale,High Horsepower,This Pokémon also does 40 damage to itself.,self_damage_fixed_amount,40,
Minior,Star Drop,This attack does 40 damage to 1 of your opponent's Pokémon.,bench_damage_one,opponent,40
Alolan Raticate,Scrounge-and-Scarf,Discard a random Item card from your opponent's hand.,discard_random_item_from_opponent_hand,,
Alolan Muk ex,Chemical Panic,"""1 Special Condition from among Asleep, Burned, Confused, Paralyzed, and Poisoned is chosen at random, and your opponent's Active Pokémon is now affected by that Special Condition. Any Special Conditions already affecting that Pokémon will not be chosen.""",inflict_random_status,,
Absol,Unseen Claw,"""If your opponent's Active Pokémon is affected by a Special Condition, this attack does 60 more damage.""",bonus_damage_if_opponent_has_status,60,
Garbodor,Super Poison Breath,Your opponent's Active Pokémon is now Poisoned.,inflict_status,poisoned,
Toxapex,Spike Cannon,Flip 4 coins. This attack does 20 damage for each heads.,flip_multiplier,4,20
Alolan Dugtrio,Iron Head,Flip a coin until you get tails. This attack does 70 damage for each heads.,flip_multiplier_until_tails,70,
Escavalier,Pike,This attack also does 20 damage to 1 of your opponent's Benched Pokémon.,bench_damage_one,opponent,20
Klefki,Unlock,Draw a card.,draw_cards,1,
Solgaleo ex,Sol Breaker,This Pokémon also does 10 damage to itself.,self_damage_fixed_amount,10,
Magearna,Silver Cannon,"""If your opponent's Active Pokémon has an Ability, this attack does 40 more damage.""",bonus_damage_if_opponent_has_ability,40,
Drampa,Berserk,"""If any of your Benched Pokémon have damage on them, this attack does 50 more damage.""",bonus_damage_if_own_bench_damaged,50,
Kommo-o,Clanging Scales,"""During your opponent's next turn, this Pokémon takes +30 damage from attacks.""",increase_incoming_damage_next_turn,30,
Tauros,Rising Lunge,Flip a coin. If heads this attack does 50 more damage.,flip_bonus_damage_if_heads,1,50
Delcatty,Energy Assist,Take a {C} Energy from your Energy Zone and attach it to 1 of your Benched Pokémon.,attach_energy_from_zone,colorless,to_bench
Hawlucha,Justified Press,"""If your opponent's Active Pokémon is a {D} Pokémon, this attack does 30 more damage.""",bonus_damage_if_opponent_type,30,darkness
Bewear,Tantrum,This Pokémon is now Confused.,self_inflict_status,confused,
Oranguru,Primate's Trap,"""During your opponent's next turn, attacks used by the Defending Pokémon cost 1 {C} more, and its Retreat Cost is 1 {C} more.""",increase_opponent_costs_next_turn,1,
Alolan Exeggutor,Tropical Hammer,Flip a coin. If tails this attack does nothing.,flip_do_nothing_if_tails,,
Tsareena,Three Kick Combo,Flip 3 coins. This attack does 50 damage for each heads.,flip_multiplier,3,50
Tapu Bulu,Stuck-In Tackle,"""Flip a coin. If tails, this Pokémon also does 20 damage to itself.""",flip_self_damage_if_tails,20,
Alolan Marowak,Burning Bonemerang,"""Flip 2 coins. This attack does 70 damage for each heads. If at least 1 of them is heads, your opponent's Active Pokémon is now Burned.""",flip_conditional_burn,2,70
Turtonator,Fire Spin,Discard a {R} Energy from this Pokémon.,discard_energy_specific,fire,1
Alolan Vulpix,Call Forth Cold,Take a {W} Energy from your Energy Zone and attach it to this Pokémon.,attach_energy_from_zone_to_self,water,
Tapu Fini,Spiral Drain,Heal 20 damage from this Pokémon.,heal_self,20,
Tapu Koko,Volt Switch,Switch this Pokémon with 1 of your Benched {L} Pokémon.,switch_self_with_bench_type,lightning,
Tapu Lele,Energy Arrow,This attack does 20 damage to 1 of your opponent's Pokémon for each Energy attached to that Pokémon.,bench_damage_per_energy_on_target,20,
Cosmog,Teleport,Switch this Pokémon with 1 of your Benched Pokémon.,switch_self_with_bench,,
Rockruff,Signs of Evolution,Put a random card that evolves from Rockruff from your deck into your hand.,search_evolution_of_self,,
Mudsdale,High Horsepower,This Pokémon also does 40 damage to itself.,self_damage_fixed_amount,40,
Minior,Star Drop,This attack does 40 damage to 1 of your opponent's Pokémon.,bench_damage_one,opponent,40
Magearna,Silver Cannon,"""If your opponent's Active Pokémon has an Ability, this attack does 40 more damage.""",bonus_damage_if_opponent_has_ability,40,
Drampa,Berserk,"""If any of your Benched Pokémon have damage on them, this attack does 50 more damage.""",bonus_damage_if_own_bench_damaged,50,
Bewear,Tantrum,This Pokémon is now Confused.,self_inflict_status,confused,
Decidueye ex,Pierce the Pain,This attack does 100 damage to 1 of your opponent's Pokémon that have damage on them.,bench_damage_to_damaged_only,100,
Dhelmise ex,Anchor Shot,"""During your opponent's next turn, the Defending Pokémon can't retreat.""",inflict_effect_retreat_lock,,
Incineroar ex,Fire Fang,Your opponent's Active Pokémon is now Burned.,inflict_status,burned,
Incineroar ex,Scar-Charged Smash,"""If this Pokémon has damage on it, this attack does 60 more damage.""",bonus_damage_if_self_damaged,60,
Crabominable ex,Insatiable Striking,"""During your next turn, this Pokémon's Insatiable Striking attack does +40 damage.""",bonus_damage_during_next_turn,40,
Wishiwashi ex,School Storm,This attack does 40 more damage for each of your Benched Wishiwashi and Wishiwashi ex.,bonus_damage_for_each_named_bench,40,"""Wishiwashi,Wishiwashi ex"""
Alolan Raichu ex,Psychic,This attack does 30 more damage for each Energy attached to your opponent's Active Pokémon.,bonus_damage_for_each_energy_on_opponent,30,
Alolan Muk ex,Chemical Panic,"""1 Special Condition from among Asleep, Burned, Confused, Paralyzed, and Poisoned is chosen at random, and your opponent's Active Pokémon is now affected by that Special Condition. Any Special Conditions already affecting that Pokémon will not be chosen.""",inflict_random_status,,
Solgaleo ex,Sol Breaker,This Pokémon also does 10 damage to itself.,self_damage_fixed_amount,10,
