set,number,pokemonName,attackName,effect_type,param1,param2,effect_text,damageBase,damageNotation
A2,75,Uxie,Mind Boost,attach_energy_to_specific_names,psychic,Mesprit|Azelf,Take a {P} Energy from your Energy Zone and attach it to Mesprit or Azelf.,20.0,20
A2,76,Mesprit,Supreme Blast,discard_energy_all,,,You can use this attack only if you have Uxie and Azelf on your Bench. Discard all Energy from this Pokémon.,160.0,160
A2,77,Azelf,Psychic Arrow,bench_damage_one,opponent,20,This attack does 20 damage to 1 of your opponent's Pokémon.,,
A2,79,Cresselia,Moonlight Gain,heal_self,20,,Heal 20 damage from this Pokémon.,50.0,50
A2,82,Rhyperior,Mountain Swing,discard_top_deck,3,,Discard the top 3 cards of your deck.,150.0,150
A2,84,Gliscor,Acrobatics,flip_multiplier,2,,Flip 2 coins. This attack does 20 more damage for each heads.,20.0,20+
A2,89,Rampardos,Head Smash,self_damage_if_ko,50,,"""If your opponent's Pokémon is Knocked Out by damage from this attack, this Pokémon also does 50 damage to itself.""",130.0,130
A2,95,Gallade ex,Energized Blade,bonus_damage_for_each_energy_on_opponent,20,,This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.,70.0,70+
A2,97,Honchkrow,Skill Dive,bench_damage_one,opponent,50,This attack does 50 damage to 1 of your opponent's Pokémon.,,
A2,98,Sneasel,Double Scratch,flip_multiplier,2,,Flip 2 coins. This attack does 20 damage for each heads.,20.0,20×
A2,99,Weavile ex,Scratching Nails,bonus_damage_if_opponent_damaged,40,,"""If your opponent's Active Pokémon has damage on it, this attack does 40 more damage.""",30.0,30+
A2,103,Skuntank,Poison Gas,inflict_status,poison,,Your opponent's Active Pokémon is now Poisoned.,50.0,50
A2,104,Spiritomb,Swirling Disaster,damage_all_opponent_pokemon,10,,This attack does 10 damage to each of your opponent's Pokémon.,,
A2,106,Drapion,Cross Poison,flip_multiplier_conditional_poison,4,40|2,"""Flip 4 coins. This attack does 40 damage for each heads. If at least 2 of them are heads, your opponent's Active Pokémon is now Poisoned.""",40.0,40×
A2,107,Croagunk,Group Beatdown,flip_multiplier_pokemon_in_play,20,,Flip a coin for each Pokémon you have in play. This attack does 20 damage for each heads.,20.0,20×
A2,108,Toxicroak,Group Beatdown,flip_multiplier_pokemon_in_play,40,,Flip a coin for each Pokémon you have in play. This attack does 40 damage for each heads.,40.0,40×
A2,109,Darkrai,Dark Void,inflict_status,sleep,,Your opponent's Active Pokémon is now Asleep.,60.0,60
A2,111,Skarmory,Metal Arms,bonus_damage_if_tool_attached,self,30,"""If this Pokémon has a Pokémon Tool attached, this attack does 30 more damage.""",20.0,20+
A2,115,Wormadam,Iron Head,flip_until_tails_bonus_damage,30,,Flip a coin until you get tails. This attack does 30 more damage for each heads.,50.0,50+
A2,117,Bronzong,Guard Press,reduce_incoming_damage_next_turn,20,,"""During your opponent's next turn, this Pokémon takes −20 damage from attacks.""",60.0,60
A2,118,Probopass,Triple Nose,flip_multiplier,3,,Flip 3 coins. This attack does 50 more damage for each heads.,30.0,30+
A2,119,Dialga ex,Metallic Turbo,attach_multiple_energy_to_bench_one,metal,2,Take 2 {M} Energy from your Energy Zone and attach it to 1 of your Benched Pokémon.,30.0,30
A2,120,Heatran,Steel Tackle,self_damage_fixed_amount,20,,This Pokémon also does 20 damage to itself.,110.0,110
A2,125,Lickilicky ex,Licking Fury,flip_until_tails_bonus_damage,40,,Flip a coin until you get tails. This attack does 40 more damage for each heads.,100.0,100+
A2,126,Eevee,Quick Attack,flip_bonus_damage_if_heads,1,20,"""Flip a coin. If heads, this attack does 20 more damage.""",10.0,10
A2,129,Porygon-Z,Buggy Beam,change_opponent_energy_type,,,"""Change the type of the next Energy that will be generated for your opponent to 1 of the following at random: {G}, {R}, {W}, {L}, {P}, {F}, {D}, or {M}.""",80.0,80
A2,131,Ambipom,Double Hit,flip_multiplier,2,,Flip 2 coins. This attack does 40 damage for each heads.,40.0,40×
A2,132,Starly,Pluck,discard_opponent_tools_before_damage,,,"""Before doing damage, discard all Pokémon Tools from your opponent's Active Pokémon.""",20.0,20
A2,134,Staraptor,Clutch,inflict_effect,retreat_lock,,"""During your opponent's next turn, the Defending Pokémon can't retreat.""",80.0,80
A2,135,Bidoof,Super Fang,halve_opponent_hp,,,"""Halve your opponent's Active Pokémon's remaining HP, rounded down.""",,
A2,138,Lopunny,Jump Kick,bench_damage_one,opponent,20,This attack also does 20 damage to 1 of your opponent's Benched Pokémon.,20.0,20
A2,139,Glameow,Pose,flip_do_nothing_if_tails,,,"""Flip a coin. If tails, this attack does nothing.""",40.0,40
A2,140,Purugly,Interrupt,reveal_hand_shuffle_card,,,Your opponent reveals their hand. Choose a card you find there and shuffle it into your opponent's deck.,60.0,60
A2,141,Chatot,Fury Attack,flip_multiplier,3,,Flip 3 coins. This attack does 20 damage for each heads.,20.0,20
A2,142,Fan Rotom,Spin Storm,return_opponent_active_to_hand,,,"""Flip a coin. If heads, put your opponent's Active Pokémon into their hand.""",,
A2,143,Regigigas,Raging Hammer,bonus_damage_equal_to_self_damage,,,This attack does more damage equal to the damage this Pokémon has on it.,50.0,50+
A2,156,Tangrowth,Mega Drain,heal_self,30,,Heal 30 damage from this Pokémon.,90.0,90
A2,157,Combee,Call for Family,search_basic_to_bench,,,Put 1 random Basic Pokémon from your deck onto your Bench.,,
A2,158,Carnivine,Flog,flip_bonus_damage_if_heads,1,50,"""Flip a coin. If heads, this attack does 50 more damage.""",40.0,40+
A2,161,Gastrodon,Muddy Water,bench_damage_one,opponent,20,This attack also does 20 damage to 1 of your opponent's Benched Pokémon.,60.0,60
A2,162,Manaphy,Oceanic Gift,attach_energy_to_multiple_bench,water,2,"""Choose 2 of your Benched Pokémon. For each of those Pokémon, take a {W} Energy from your Energy Zone and attach it to that Pokémon.""",,
A2,163,Shinx,Hide,flip_prevent_damage_and_effects,,,"""Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.""",,
A2,164,Rotom,Assault Laser,bonus_damage_if_tool_attached,opponent,30,"""If your opponent's Active Pokémon has a Pokémon Tool attached, this attack does 30 more damage.""",20.0,20+
A2,165,Drifloon,Expand,reduce_incoming_damage_next_turn,20,,"""During your opponent's next turn, this Pokémon takes −20 damage from attacks.""",10.0,10
A2,166,Mesprit,Supreme Blast,discard_energy_all,,,You can use this attack only if you have Uxie and Azelf on your Bench. Discard all Energy from this Pokémon.,160.0,160
A2,168,Cresselia,Moonlight Gain,heal_self,20,,Heal 20 damage from this Pokémon.,50.0,50
A2,169,Rhyperior,Mountain Swing,discard_top_deck,3,,Discard the top 3 cards of your deck.,150.0,150
A2,172,Spiritomb,Swirling Disaster,damage_all_opponent_pokemon,10,,This attack does 10 damage to each of your opponent's Pokémon.,,
A2,173,Croagunk,Group Beatdown,flip_multiplier_pokemon_in_play,20,,Flip a coin for each Pokémon you have in play. This attack does 20 damage for each heads.,20.0,20×
A2,174,Heatran,Steel Tackle,self_damage_fixed_amount,20,,This Pokémon also does 20 damage to itself.,110.0,110
A2,176,Staraptor,Clutch,inflict_effect,retreat_lock,,"""During your opponent's next turn, the Defending Pokémon can't retreat.""",80.0,80
A2,177,Bidoof,Super Fang,halve_opponent_hp,,,"""Halve your opponent's Active Pokémon's remaining HP, rounded down.""",,
A2,178,Glameow,Pose,flip_do_nothing_if_tails,,,"""Flip a coin. If tails, this attack does nothing.""",40.0,40
A2,179,Regigigas,Raging Hammer,bonus_damage_equal_to_self_damage,,,This attack does more damage equal to the damage this Pokémon has on it.,50.0,50+
A2,180,Yanmega ex,Air Slash,discard_random_energy_self,1,,Discard a random Energy from this Pokémon.,120.0,120
A2,181,Infernape ex,Flare Blitz,discard_energy_specific,fire,999,Discard all {R} Energy from this Pokémon.,140.0,140
A2,182,Palkia ex,Dimensional Storm,discard_energy_and_bench_damage,water,3|20,Discard 3 {W} Energy from this Pokémon. This attack also does 20 damage to each of your opponent's Benched Pokémon.,150.0,150
A2,183,Pachirisu ex,Sparking Gadget,bonus_damage_if_tool_attached,self,40,"""If this Pokémon has a Pokémon Tool attached, this attack does 40 more damage.""",40.0,40+
A2,184,Mismagius ex,Magical Delusion,inflict_status,confusion,,Your opponent's Active Pokémon is now Confused.,70.0,70
A2,185,Gallade ex,Energized Blade,bonus_damage_for_each_energy_on_opponent,20,,This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.,70.0,70+
A2,186,Weavile ex,Scratching Nails,bonus_damage_if_opponent_damaged,40,,"""If your opponent's Active Pokémon has damage on it, this attack does 40 more damage.""",30.0,30+
A2,188,Dialga ex,Metallic Turbo,attach_multiple_energy_to_bench_one,metal,2,Take 2 {M} Energy from your Energy Zone and attach it to 1 of your Benched Pokémon.,30.0,30
A2,189,Lickilicky ex,Licking Fury,flip_until_tails_bonus_damage,40,,Flip a coin until you get tails. This attack does 40 more damage for each heads.,100.0,100+
A2,196,Yanmega ex,Air Slash,discard_random_energy_self,1,,Discard a random Energy from this Pokémon.,120.0,120
A2,197,Infernape ex,Flare Blitz,discard_energy_specific,fire,999,Discard all {R} Energy from this Pokémon.,140.0,140
A2,198,Pachirisu ex,Sparking Gadget,bonus_damage_if_tool_attached,self,40,"""If this Pokémon has a Pokémon Tool attached, this attack does 40 more damage.""",40.0,40+
A2,199,Mismagius ex,Magical Delusion,inflict_status,confusion,,Your opponent's Active Pokémon is now Confused.,70.0,70
A2,200,Gallade ex,Energized Blade,bonus_damage_for_each_energy_on_opponent,20,,This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.,70.0,70+
A2,201,Weavile ex,Scratching Nails,bonus_damage_if_opponent_damaged,40,,"""If your opponent's Active Pokémon has damage on it, this attack does 40 more damage.""",30.0,30+
A2,203,Lickilicky ex,Licking Fury,flip_until_tails_bonus_damage,40,,Flip a coin until you get tails. This attack does 40 more damage for each heads.,100.0,100+
A2,204,Palkia ex,Dimensional Storm,discard_energy_and_bench_damage,water,3|20,Discard 3 {W} Energy from this Pokémon. This attack also does 20 damage to each of your opponent's Benched Pokémon.,150.0,150
A2,205,Dialga ex,Metallic Turbo,attach_multiple_energy_to_bench_one,metal,2,Take 2 {M} Energy from your Energy Zone and attach it to 1 of your Benched Pokémon.,30.0,30
A2,206,Palkia ex,Dimensional Storm,discard_energy_and_bench_damage,water,3|20,Discard 3 {W} Energy from this Pokémon. This attack also does 20 damage to each of your opponent's Benched Pokémon.,150.0,150
A2,207,Dialga ex,Metallic Turbo,attach_multiple_energy_to_bench_one,metal,2,Take 2 {M} Energy from your Energy Zone and attach it to 1 of your Benched Pokémon.,30.0,30
A2a,1,Heracross,Single-Horn Throw,flip_bonus_if_double_heads,,70,"""Flip 2 coins. If both of them are heads, this attack does 70 more damage.""",50.0,50+
A2a,5,Vespiquen,Reckless Charge,self_damage_fixed_amount,30,,This Pokémon also does 30 damage to itself.,120.0,120
A2a,7,Cherrim,Worry Seed,inflict_status,confused,,Your opponent's Active Pokémon is now Confused.,40.0,40
A2a,8,Cherrim,Leech Seed,heal_self,20,,Heal 20 damage from this Pokémon.,60.0,60
A2a,12,Houndoom,Corner,inflict_effect,retreat_lock,,"""During your opponent's next turn, the Defending Pokémon can't retreat.""",60.0,60
A2a,13,Heatran,Ragin' Mad Strike,bonus_damage_if_self_damaged,40,,"""If this Pokémon has damage on it, this attack does 40 more damage.""",40.0,40+
A2a,17,Whiscash,Thrash,flip_bonus_damage_with_self_damage,60,20,"""Flip a coin. If heads, this attack does 60 more damage. If tails, this Pokémon also does 20 damage to itself.""",80.0,80+
A2a,19,Froslass,Blizzard,bench_damage_all_opponent,10,,This attack also does 10 damage to each of your opponent's Benched Pokémon.,40.0,40
A2a,23,Origin Forme Palkia,Zone Smash,flip_bonus_damage_if_heads,1,60,"""Flip a coin. If heads, this attack does 60 more damage.""",60.0,60+
A2a,24,Phione,Water Pulse,inflict_status,sleep,,Your opponent's Active Pokémon is now Asleep.,40.0,40
A2a,25,Pikachu,Spark,bench_damage_one,opponent,10,This attack also does 10 damage to 1 of your opponent's Benched Pokémon.,10.0,10
A2a,26,Raichu,Spark,bench_damage_one,opponent,20,This attack also does 20 damage to 1 of your opponent's Benched Pokémon.,40.0,40
A2a,28,Manectric,Flash,inflict_effect,attack_lock_flip,,"""During your opponent's next turn, if the Defending Pokémon tries to use an attack, your opponent flips a coin. If tails, that attack doesn't happen.""",40.0,40
A2a,30,Clefable,Moonblast,inflict_effect,reduce_damage_next_turn,30,"""During your opponent's next turn, attacks used by the Defending Pokémon do −30 damage.""",60.0,60
A2a,31,Gastly,Astonish,flip_reveal_shuffle_opponent_card,,,"""Flip a coin. If heads, your opponent reveals a random card from their hand and shuffles it into their deck.""",,
A2a,33,Gengar,Hypnoblast,inflict_status,sleep,,Your opponent's Active Pokémon is now Asleep.,70.0,70
A2a,35,Rotom,Dash Attack,bench_damage_one,opponent,20,This attack does 20 damage to 1 of your opponent's Benched Pokémon.,,
A2a,36,Sudowoodo,Fighting Headbutt,bonus_damage_if_opponent_ex,30,,"""If your opponent's Active Pokémon is a Pokémon {ex}, this attack does 30 more damage.""",20.0,20
A2a,38,Donphan,Rolling Spin,increase_self_damage_next_turn,Rolling Spin,60,"""During your next turn, this Pokémon's Rolling Spin attack does +60 damage.""",60.0,60
A2a,44,Medicham,Kick Shot,flip_do_nothing_if_tails,,,"""Flip a coin. If tails, this attack does nothing.""",80.0,80
A2a,47,Garchomp ex,Linear Attack,bench_damage_one,opponent,50,This attack does 50 damage to 1 of your opponent's Pokémon.,,
A2a,52,Toxicroak,Toxic,inflict_status_heavy,poison,20,Your opponent's Active Pokémon is now Poisoned. Do 20 damage to this Pokémon instead of the usual amount for this Special Condition.,,
A2a,56,Mawile,Iron Beam Breaker,bonus_damage_if_opponent_type,metal,30,"""If your opponent's Active Pokémon is a {M} Pokémon, this attack does 30 more damage.""",20.0,20+
A2a,57,Probopass ex,Defensive Unit,reduce_incoming_damage_next_turn,20,,"""During your opponent's next turn, this Pokémon takes −20 damage from attacks.""",90.0,90
A2a,59,Bronzong,Psychic,bonus_damage_for_each_energy_on_opponent,20,,This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.,50.0,50+
A2a,60,Origin Forme Dialga,Time Mash,flip_inflict_effect_self_if_tails,attack_lock_self,,"""Flip a coin. If tails, during your next turn, this Pokémon can't attack.""",100.0,100
A2a,61,Giratina,Crisis Dive,discard_random_energy_self,2,,Discard 2 random Energy from this Pokémon.,120.0,120
A2a,63,Snorlax,Collapse,inflict_status_self,asleep,,This Pokémon is now Asleep.,100.0,100
A2a,65,Noctowl,Silent Wing,reveal_opponent_hand,,,Your opponent reveals their hand.,50.0,50
A2a,68,Staraptor,Brave Bird,self_damage_fixed_amount,20,,This Pokémon also does 20 damage to itself.,130.0,130
A2a,70,Arceus,Power Blast,discard_random_energy_self,1,,Discard a random Energy from this Pokémon.,100.0,100
A2a,71,Arceus ex,Ultimate Force,bonus_damage_for_each_bench,20,,This attack does 20 more damage for each of your Benched Pokémon.,70.0,70+
A2a,76,Houndoom,Corner,inflict_effect,retreat_lock,,"""During your opponent's next turn, the Defending Pokémon can't retreat.""",60.0,60
A2a,79,Sudowoodo,Fighting Headbutt,bonus_damage_if_opponent_ex,30,,"""If your opponent's Active Pokémon is a Pokémon ex, this attack does 30 more damage.""",20.0,20
A2a,84,Garchomp ex,Linear Attack,bench_damage_one,opponent,50,This attack does 50 damage to 1 of your opponent's Pokémon.,,
A2a,85,Probopass ex,Defensive Unit,reduce_incoming_damage_next_turn,20,,"""During your opponent's next turn, this Pokémon takes −20 damage from attacks.""",90.0,90
A2a,86,Arceus ex,Ultimate Force,bonus_damage_for_each_bench,20,,This attack does 20 more damage for each of your Benched Pokémon.,70.0,70+
A2a,93,Garchomp ex,Linear Attack,bench_damage_one,opponent,50,This attack does 50 damage to 1 of your opponent's Pokémon.,,
A2a,94,Probopass ex,Defensive Unit,reduce_incoming_damage_next_turn,20,,"""During your opponent's next turn, this Pokémon takes −20 damage from attacks.""",90.0,90
A2a,95,Arceus ex,Ultimate Force,bonus_damage_for_each_bench,20,,This attack does 20 more damage for each of your Benched Pokémon.,70.0,70+
A2a,96,Arceus ex,Ultimate Force,bonus_damage_for_each_bench,20,,This attack does 20 more damage for each of your Benched Pokémon.,70.0,70+
A2b,1,Weedle,Multiply,search_specific_into_bench,Weedle,,Put 1 random Weedle from your deck onto your Bench.,,
A2b,2,Kakuna,String Shot,flip_inflict_status_if_heads,paralysis,,"""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""",20.0,20
A2b,3,Beedrill ex,Crushing Spear,discard_random_energy_from_opponent,1,,Discard a random Energy from your opponent's Active Pokémon.,80.0,80
A2b,4,Pinsir,Guillotine Rush,flip_until_tails_bonus_damage,40,,Flip a coin until you get tails. This attack does 40 more damage for each heads.,50.0,50+
A2b,5,Sprigatito,Cry for Help,search_pokemon_type_random,grass,,Put 1 random {G} Pokémon from your deck into your hand.,,
A2b,7,Meowscarada,Fighting Claws,bonus_damage_if_opponent_ex,70,,"""If your opponent's Active Pokémon is a Pokémon ex, this attack does 70 more damage.""",60.0,60+
A2b,10,Charizard ex,Stoke,attach_multiple_energy_from_zone_self,fire,3,Take 3 {R} Energy from your Energy Zone and attach it to this Pokémon.,,
A2b,12,Magmortar,Smoke Bomb,inflict_effect,attack_lock_flip,,"""During your opponent's next turn, if the Defending Pokémon tries to use an attack, your opponent flips a coin. If tails, that attack doesn't happen.""",70.0,70
A2b,13,Paldean Tauros,Blaze Tackle,self_damage_fixed_amount,10,,This Pokémon also does 10 damage to itself.,80.0,80
A2b,17,Floatzel,Water Arrow,bench_damage_one,opponent,30,This attack does 30 damage to 1 of your opponent's Pokémon.,,
A2b,18,Wiglett,Spring Out,random_single_target_damage,30,,1 of your opponent's Pokémon is chosen at random. Do 30 damage to it.,,
A2b,19,Wugtrio ex,Pop Out Throughout,random_multi_target_damage,3,50,"""1 of your opponent's Pokémon is chosen at random 3 times. For each time a Pokémon was chosen, do 50 damage to it.""",,
A2b,20,Dondozo,Ocean Cyclone,bench_damage_all_opponent,10,,This attack also does 10 damage to each of your opponent's Benched Pokémon.,80.0,80
A2b,22,Pikachu ex,Thunderbolt,discard_energy_all,,,Discard all Energy from this Pokémon.,150.0,150
A2b,24,Electrode,Tumbling Attack,flip_bonus_damage_if_heads,1,30,"""Flip a coin. If heads, this attack does 30 more damage.""",50.0,50+
A2b,25,Pachirisu,Plasma,attach_energy_from_zone,lightning,to_bench,Take a {L} Energy from your Energy Zone and attach it to 1 of your Benched  Pokémon.,10.0,10
A2b,31,Alakazam,Psychic Suppression,bench_damage_opponent_with_energy,20,,This attack also does 20 damage to each of your opponent's Benched Pokémon that has any Energy attached.,80.0,80
A2b,32,Mr. Mime,Juggling,flip_multiplier,4,20,Flip 4 coins. This attack does 20 damage for each heads.,20.0,20x
A2b,35,Giratina ex,Chaotic Impact,self_damage_fixed_amount,20,,This Pokémon also does 20 damage to itself.,130.0,130
A2b,36,Gimmighoul,Chest-ouflage,flip_inflict_effect_if_heads,prevent_damage_next_turn,,"""Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.""",,
A2b,38,Machoke,Pummel,flip_bonus_damage_if_heads,1,30,"""Flip a coin. If heads, this attack does 30 more damage.""",30.0,30+
A2b,39,Machamp,Power Press,extra_damage_if_extra_energy_attached,fighting,2|50,"""If this Pokémon has at least 2 extra {F} Energy attached, this attack does 50 more damage.""",70.0,70+
A2b,43,Lucario ex,Aura Sphere,bench_damage_one,opponent,30,This attack also does 30 damage to 1 of your opponent's Benched Pokémon.,100.0,100
A2b,44,Flamigo,Double Kick,flip_multiplier,2,50,Flip 2 coins. This attack does 50 damage for each heads.,50.0,50x
A2b,46,Arbok,Venomous Fang,inflict_status,poison,,Your opponent's Active Pokémon is now Poisoned.,70.0,70
A2b,47,Paldean Wooper,Poison Jab,inflict_status,poison,,Your opponent's Active Pokémon is now Poisoned.,10.0,10
A2b,48,Paldean Clodsire ex,Venoshock,bonus_damage_if_opponent_poisoned,60,,"""If your opponent's Active Pokémon is Poisoned, this attack does 60 more damage.""",60.0,60+
A2b,49,Spiritomb,Confuse Ray,flip_inflict_status_if_heads,confused,,"""Flip a coin. If heads, your opponent's Active Pokémon is now Confused.""",20.0,20
A2b,53,Tinkatuff,Tenacious Hammer,flip_bonus_damage_if_heads,1,30,"""Flip a coin. If heads, this attack does 30 more damage.""",30.0,30+
A2b,54,Tinkaton ex,Terrific Thumping,flip_bonus_damage_if_heads,1,80,"""Flip a coin. If heads, this attack does 80 more damage.""",80.0,80+
A2b,56,Revavroom,Spinning Drift,flip_inflict_effect_if_heads,prevent_damage_next_turn,,"""Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.""",70.0,70
A2b,57,Gholdengo,Scintillating Surfing,flip_multiplier_per_energy,metal,50,Flip a coin for each {M} Energy attached to this Pokémon. This attack does 50 damage for each heads.,50.0,50x
A2b,65,Bibarel ex,Carefree Press,heal_self,30,,Heal 30 damage from this Pokémon.,100.0,100
A2b,68,Cyclizar,Overacceleration,increase_self_damage_next_turn,Overacceleration,20,"""During your next turn, this Pokémon's Overacceleration attack does +20 damage.""",20.0,20
A2b,73,Meowscarada,Fighting Claws,bonus_damage_if_opponent_ex,70,,"""If your opponent's Active Pokémon is a Pokémon ex, this attack does 70 more damage.""",60.0,60+
A2b,77,Gholdengo,Scintillating Surfing,flip_multiplier_per_energy,metal,50,Flip a coin for each {M} Energy attached to this Pokémon. This attack does 50 damage for each heads.,50.0,50x
A2b,79,Beedrill ex,Crushing Spear,discard_random_energy_from_opponent,1,,Discard a random Energy from your opponent's Active Pokémon.,80.0,80
A2b,80,Charizard ex,Stoke,attach_multiple_energy_from_zone_self,fire,3,Take 3 {R} Energy from your Energy Zone and attach it to this Pokémon.,,
A2b,81,Wugtrio ex,Pop Out Throughout,random_multi_target_damage,3,50,"""1 of your opponent's Pokémon is chosen at random 3 times. For each time a Pokémon was chosen, do 50 damage to it.""",,
A2b,82,Pikachu ex,Thunderbolt,discard_energy_all,,,Discard all Energy from this Pokémon.,150.0,150
A2b,83,Giratina ex,Chaotic Impact,self_damage_fixed_amount,20,,This Pokémon also does 20 damage to itself.,130.0,130
A2b,84,Lucario ex,Aura Sphere,bench_damage_one,opponent,30,This attack also does 30 damage to 1 of your opponent's Benched Pokémon.,100.0,100
A2b,85,Paldean Clodsire ex,Venoshock,bonus_damage_if_opponent_poisoned,60,,"""If your opponent's Active Pokémon is Poisoned, this attack does 60 more damage.""",60.0,60
A2b,86,Tinkaton ex,Terrific Thumping,flip_bonus_damage_if_heads,1,80,"""Flip a coin. If heads, this attack does 80 more damage.""",80.0,80+
A2b,87,Bibarel ex,Carefree Press,heal_self,30,,Heal 30 damage from this Pokémon.,100.0,100
A2b,92,Pikachu ex,Thunderbolt,discard_energy_all,,,Discard all Energy from this Pokémon.,150.0,150
A2b,93,Paldean Clodsire ex,Venoshock,bonus_damage_if_opponent_poisoned,60,,"""If your opponent's Active Pokémon is Poisoned, this attack does 60 more damage.""",60.0,60
A2b,94,Tinkaton ex,Terrific Thumping,flip_bonus_damage_if_heads,1,80,"""Flip a coin. If heads, this attack does 80 more damage.""",80.0,80+
A2b,95,Bibarel ex,Carefree Press,heal_self,30,,Heal 30 damage from this Pokémon.,100.0,100
A2b,96,Giratina ex,Chaotic Impact,self_damage_fixed_amount,20,,This Pokémon also does 20 damage to itself.,130.0,130
A2b,97,Weedle,Multiply,search_specific_into_bench,Weedle,,Put 1 random Weedle from your deck onto your Bench.,,
A2b,98,Kakuna,String Shot,flip_inflict_status_if_heads,paralysis,,"""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""",20.0,20
A2b,101,Wiglett,Spring Out,random_single_target_damage,30,,1 of your opponent's Pokémon is chosen at random. Do 30 damage to it.,,
A2b,102,Dondozo,Ocean Cyclone,bench_damage_all_opponent,10,,This attack also does 10 damage to each of your opponent's Benched Pokémon.,80.0,80
A2b,103,Pachirisu,Plasma,attach_energy_from_zone,lightning,to_bench,Take a {L} Energy from your Energy Zone and attach it to 1 of your Benched  Pokémon.,10.0,10
A2b,106,Revavroom,Spinning Drift,flip_inflict_effect_if_heads,prevent_damage_next_turn,,"""Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.""",70.0,70
A2b,107,Beedrill ex,Crushing Spear,discard_random_energy_from_opponent,1,,Discard a random Energy from your opponent's Active Pokémon.,80.0,80
A2b,108,Charizard ex,Stoke,attach_multiple_energy_from_zone_self,fire,3,Take 3 {R} Energy from your Energy Zone and attach it to this Pokémon.,,
A2b,109,Wugtrio ex,Pop Out Throughout,random_multi_target_damage,3,50,"""1 of your opponent's Pokémon is chosen at random 3 times. For each time a Pokémon was chosen, do 50 damage to it.""",,
A2b,110,Lucario ex,Aura Sphere,bench_damage_one,opponent,30,This attack also does 30 damage to 1 of your opponent's Benched Pokémon.,100.0,100
A3,2,Alolan Exeggutor,Tropical Hammer,flip_do_nothing_if_tails,,,Flip a coin. If tails this attack does nothing.,150.0,150
A3,3,Surskit,Quick Attack,flip_bonus_damage_if_heads,1,20,Flip a coin. If heads this attack does 20 more damage.,10.0,10+
A3,10,Rowlet,Skill Dive,bench_damage_one,opponent,10,This attack does 10 damage to 1 of your opponent's Pokémon.,0.0,
A3,12,Decidueye ex,Pierce the Pain,bench_damage_to_damaged_only,100,,This attack does 100 damage to 1 of your opponent's Pokémon that have damage on them.,0.0,
A3,15,Lurantis,Petal Blizzard,bench_damage_all_opponent,20,,This attack does 20 damage to each of your opponent's Pokémon.,0.0,
A3,17,Shiinotic,Flickering Light,flip_inflict_effect_if_heads,attack_lock,,"""Flip a coin. If heads, the Defending Pokémon can't attack during your opponent's next turn.""",50.0,50
A3,19,Steenee,Double Spin,flip_multiplier,2,30,Flip 2 coins. This attack does 30 damage for each heads.,30.0,30×
A3,20,Tsareena,Three Kick Combo,flip_multiplier,3,50,Flip 3 coins. This attack does 50 damage for each heads.,50.0,50×
A3,22,Golisopod,First Impression,bonus_damage_if_switched_in,60,,"""If this Pokémon moved from your Bench to the Active Spot this turn, this attack does 60 more damage.""",60.0,60+
A3,23,Dhelmise ex,Anchor Shot,inflict_effect_retreat_lock,,,"""During your opponent's next turn, the Defending Pokémon can't retreat.""",80.0,80
A3,24,Tapu Bulu,Stuck-In Tackle,flip_self_damage_if_tails,20,,"""Flip a coin. If tails, this Pokémon also does 20 damage to itself.""",100.0,100
A3,27,Alolan Marowak,Burning Bonemerang,flip_conditional_burn,2,70,"""Flip 2 coins. This attack does 70 damage for each heads. If at least 1 of them is heads, your opponent's Active Pokémon is now Burned.""",70.0,70×
A3,30,Litten,Heat Tackle,self_damage_fixed_amount,10,,This Pokémon also does 10 damage to itself.,30.0,30
A3,32,Torracat,Heat Tackle,self_damage_fixed_amount,10,,This Pokémon also does 10 damage to itself.,40.0,40
A3,33,Incineroar ex,Fire Fang,inflict_status,burned,,Your opponent's Active Pokémon is now Burned.,30.0,30
A3,33,Incineroar ex,Scar-Charged Smash,bonus_damage_if_self_damaged,60,,"""If this Pokémon has damage on it, this attack does 60 more damage.""",80.0,80+
A3,34,Oricorio,Kindle,discard_random_energy_from_both,,,Discard a random Energy from both Active Pokémon.,40.0,40
A3,36,Salazzle,Heated Poison,inflict_double_status,poisoned,burned,Your opponent's Active Pokémon is now Poisoned and Burned.,30.0,30
A3,37,Turtonator,Fire Spin,discard_energy_specific,fire,1,Discard a {R} Energy from this Pokémon.,90.0,90
A3,39,Alolan Sandslash,Spike Armor,inflict_effect_counter_next_turn,40,,"""During your opponent's next turn, if this Pokémon is damaged by an attack, do 40 damage to the Attacking Pokémon.""",20.0,20
